Time_Index,FO6,NG_ISNE_LNG,NG_Algonquin,NG_Dracut,NG_Iroquois_Z2,NG_Tenn_Z6
0,0.05306,0.05306,0.05306,0.05306,0.05306,0.05306
1,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
2,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
3,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
4,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
5,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
6,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
7,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
8,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
9,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
10,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
11,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
12,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
13,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
14,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
15,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
16,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
17,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
18,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
19,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
20,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
21,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
22,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
23,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
24,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
25,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
26,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
27,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
28,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
29,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
30,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
31,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
32,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
33,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
34,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
35,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
36,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
37,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
38,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
39,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
40,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
41,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
42,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
43,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
44,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
45,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
46,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
47,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
48,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
49,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
50,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
51,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
52,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
53,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
54,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
55,13.54389,8.319825049,3.649677419,3.649677419,3.213064516,3.716612903
